Device: USB-1408FS-Plus,,,,
Serial Number: 18FB9D0,,,,
Channel Count: 3,,,,
Sample Count: 31250,,,,
Start Time: 6/25/2018 1:33:59 PM,,,,
Sampling Interval: 0.0005,,,,
Time,Height (mm),SLS Voltag (V),Applied Vo (V),LS Resistance (ohms)
0.2875,4.789,5.934,11.801,323.4520539
0.288,4.789,5.937,11.804,323.6155787
0.2885,5.088,5.937,11.804,323.6155787
0.289,5.088,5.937,11.801,323.7811392
0.2895,5.088,5.937,11.804,323.6155787
0.29,4.789,5.937,11.801,323.7811392
0.2905,5.088,5.937,11.804,323.6155787
0.291,5.687,5.937,11.804,323.6155787
0.2915,5.388,5.937,11.804,323.6155787
0.292,4.789,5.937,11.801,323.7811392
0.2925,5.088,5.937,11.804,323.6155787
0.293,5.388,5.937,11.801,323.7811392
0.2935,5.088,5.937,11.801,323.7811392
0.294,5.088,5.937,11.801,323.7811392
0.2945,5.388,5.937,11.801,323.7811392
